session,date,committee,name,location,status,bills_heard,event_id
188,2013-02-14 11:00,J39,Joint Committee on Ways and Means,"Arlington Town Hall, Auditorium, Arlington",Completed,0,489
188,2013-02-20 10:00,J39,Joint Committee on Ways and Means,"Worcester State University, Blue Lounge located on the first floor of the Student Center, Worcester",Completed,0,490
188,2013-02-26 10:00,J39,Joint Committee on Ways and Means,"Greenfield Community College, Main Building, 1st floor Dining Common, Greenfield",Completed,0,494
188,2013-02-27 10:00,J39,Joint Committee on Ways and Means,"Massasoit Conference Center, 770 Crescent Street, Brockton",Completed,0,495
188,2013-02-27 12:00,H46,House Committee on Post Audit and Oversight,"Room 146, 24 Beacon Street, Boston",Completed,0,509
188,2013-02-27 23:00,H32,"House Committee on Bonding, Capital Expenditures and State Assets","Wilmington Public High School, 161 Church Street, Wilmington",Completed,0,502
188,2013-02-28 10:00,J39,Joint Committee on Ways and Means,"Montachusett Technical School (Monty Tech), Dukakis Performing Arts Cente, Fitchburg",Completed,0,498
188,2013-03-04 10:00,J39,Joint Committee on Ways and Means,"Arlington Town Hall, Auditorium, Arlington",Completed,0,499
188,2013-03-05 11:00,J14,Joint Committee on Education,"A-2, 24 Beacon Street, Boston",Completed,0,511
188,2013-03-06 10:00,J10,Joint Committee on Municipalities and Regional Government,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,1,510
188,2013-03-06 13:00,J29,Joint Committee on Higher Education,"A-2, 24 Beacon Street, Boston",Completed,0,504
188,2013-03-07 10:00,J39,Joint Committee on Ways and Means,"Everett High School Library, 100 Elm Street, Everett",Completed,0,500
188,2013-03-08 10:00,J39,Joint Committee on Ways and Means,"Arlington Town Hall, Auditorium, Arlington",Completed,0,501
188,2013-03-12 10:00,J27,Joint Committee on Transportation,"A-2, 24 Beacon Street, Boston",Completed,0,514
188,2013-03-13 13:00,J29,Joint Committee on Higher Education,"A-2, 24 Beacon Street, Boston",Completed,0,505
188,2013-03-21 10:30,J21,"Joint Committee on Environment, Natural Resources and Agriculture","Wilmington Public High School, 161 Church Street, Wilmington",Completed,5,517
188,2013-03-21 12:30,J21,"Joint Committee on Environment, Natural Resources and Agriculture","Wilmington Public High School, 161 Church Street, Wilmington",Completed,0,518
188,2013-03-21 14:30,J21,"Joint Committee on Environment, Natural Resources and Agriculture","Wilmington Public High School, 161 Church Street, Wilmington",Completed,19,515
188,2013-03-21 16:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","Wilmington Public High School, 161 Church Street, Wilmington",Completed,0,520
188,2013-03-25 10:00,J27,Joint Committee on Transportation,"A-2, 24 Beacon Street, Boston",Completed,1,521
188,2013-03-26 10:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","Wilmington Public High School, 161 Church Street, Wilmington",Completed,6,524
188,2013-03-26 10:30,J26,Joint Committee on Revenue,"A-2, 24 Beacon Street, Boston",Completed,44,523
188,2013-03-26 12:30,J21,"Joint Committee on Environment, Natural Resources and Agriculture","Wilmington Public High School, 161 Church Street, Wilmington",Completed,0,525
188,2013-03-27 10:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","Wilmington Public High School, 161 Church Street, Wilmington",Completed,10,526
188,2013-03-27 10:00,J22,Joint Committee on Public Safety and Homeland Security,"A-2, 24 Beacon Street, Boston",Completed,24,543
188,2013-03-27 12:30,J21,"Joint Committee on Environment, Natural Resources and Agriculture","Wilmington Public High School, 161 Church Street, Wilmington",Completed,0,527
188,2013-03-27 14:00,J15,Joint Committee on Election Laws,"A-2, 24 Beacon Street, Boston",Completed,48,512
188,2013-03-28 13:00,J18,Joint Committee on Mental Health and Substance Abuse,"A-2, 24 Beacon Street, Boston",Completed,0,562
188,2013-04-02 10:30,J26,Joint Committee on Revenue,"A-2, 24 Beacon Street, Boston",Completed,44,513
188,2013-04-02 10:30,J29,Joint Committee on Higher Education,"A-2, 24 Beacon Street, Boston",Completed,0,528
188,2013-04-02 12:00,J16,Joint Committee on Public Health,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,12,532
188,2013-04-02 13:00,J18,Joint Committee on Mental Health and Substance Abuse,"A-2, 24 Beacon Street, Boston",Completed,0,561
188,2013-04-02 13:00,J30,"Joint Committee on Tourism, Arts and Cultural Development","A-2, 24 Beacon Street, Boston",Completed,8,556
188,2013-04-03 11:00,H32,"House Committee on Bonding, Capital Expenditures and State Assets","A-2, 24 Beacon Street, Boston",Completed,0,545
188,2013-04-03 11:00,J10,Joint Committee on Municipalities and Regional Government,"A-2, 24 Beacon Street, Boston",Completed,33,551
188,2013-04-03 13:00,J19,Joint Committee on the Judiciary,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,20,533
188,2013-04-03 13:00,J25,Joint Committee on State Administration and Regulatory Oversight,"A-2, 24 Beacon Street, Boston",Completed,9,558
188,2013-04-03 13:00,J29,Joint Committee on Higher Education,"A-2, 24 Beacon Street, Boston",Completed,0,507
188,2013-04-03 14:00,J15,Joint Committee on Election Laws,"A-2, 24 Beacon Street, Boston",Completed,1,522
188,2013-04-04 10:00,J28,Joint Committee on Housing,"A-1 (10:00-1:00); Room 222 (1:00-3:00), 24 Beacon Street, Boston",Completed,2,519
188,2013-04-04 13:00,J22,Joint Committee on Public Safety and Homeland Security,"A-2, 24 Beacon Street, Boston",Completed,18,563
188,2013-04-09 09:30,J26,Joint Committee on Revenue,"A-2, 24 Beacon Street, Boston",Completed,41,564
188,2013-04-09 10:00,J14,Joint Committee on Education,"A-2, 24 Beacon Street, Boston",Completed,20,529
188,2013-04-09 12:00,J14,Joint Committee on Education,"A-2, 24 Beacon Street, Boston",Completed,1,566
188,2013-04-09 13:00,J16,Joint Committee on Public Health,"A-2, 24 Beacon Street, Boston",Completed,24,560
188,2013-04-09 13:00,J29,Joint Committee on Higher Education,"A-2, 24 Beacon Street, Boston",Completed,0,508
