chamber,code,name,party,district,sitting,first_session,last_session,roll_calls,committee_votes,page
House,RAD1,Robert A. DeLeo,Democrat,19th Suffolk,no,189,190,212,0,house/members/RAD1.html
House,TFB1,Tricia Farley-Bouvier,Democrat,3rd Berkshire,yes,189,194,1374,374,house/members/TFB1.html
House,P_M1,Paul McMurtry,Democrat,11th Norfolk,yes,189,194,1374,125,house/members/P_M1.html
House,CJW1,Chris Walsh,Democrat,6th Middlesex,yes,189,194,481,432,house/members/CJW1.html
House,R_M1,Ronald Mariano,Democrat,3rd Norfolk,yes,189,194,1785,0,house/members/R_M1.html
House,DAF1,Dylan Fernandes,Democrat,"Barnstable, Dukes and Nantucket",no,190,193,1138,0,house/members/DAF1.html
House,J_M1,Joan Meschino,Democrat,3rd Plymouth,yes,190,194,1373,122,house/members/J_M1.html
House,TJW1,Thomas P. Walsh,Democrat,12th Essex,yes,189,194,1374,0,house/members/TJW1.html
House,PAH1,Patricia A. Haddad,Democrat,5th Bristol,no,189,193,1139,0,house/members/PAH1.html
House,AMF1,Ann-Margaret Ferrante,Democrat,5th Essex,no,189,194,1255,60,house/members/AMF1.html
House,JRM1,James R. Miceli,Democrat,19th Middlesex,no,189,190,21,0,house/members/JRM1.html
House,BLW1,Bud Williams,Democrat,11th Hampden,yes,190,194,1373,0,house/members/BLW1.html
House,B_R1,Byron Rushing,Democrat,9th Suffolk,no,189,190,212,0,house/members/B_R1.html
House,MJF1,Michael J. Finn,Democrat,6th Hampden,yes,189,194,1374,42,house/members/MJF1.html
House,AMM1,Aaron Michlewitz,Democrat,3rd Suffolk,yes,189,194,1374,97,house/members/AMM1.html
House,JDZ1,Jonathan D. Zlotnik,Democrat,2nd Worcester,yes,189,194,1374,224,house/members/JDZ1.html
House,PJD1,Paul J. Donato,Democrat,35th Middlesex,yes,189,194,1374,147,house/members/PJD1.html
House,CAF1,Carole A. Fiola,Democrat,6th Bristol,yes,189,194,1374,34,house/members/CAF1.html
House,R_M2,Rady Mom,Democrat,18th Middlesex,no,189,193,1139,1,house/members/R_M2.html
House,BHJ1,"Bradley H. Jones, Jr.",Republican,20th Middlesex,yes,189,194,1374,29,house/members/BHJ1.html
House,MJM1,Michael J. Moran,Democrat,18th Suffolk,yes,189,194,1374,0,house/members/MJM1.html
House,WCG1,William C. Galvin,Democrat,6th Norfolk,yes,189,194,1374,0,house/members/WCG1.html
